11,2,1,1,10,"Initializer Chooses Must Have Can't Stands",0,"5.1",1,"/servlet/user/comm/mhcs/view?method=viewOwnerMhcs","/servlet/user/comm/mhcs/read/wait","/servlet/user/comm/review/mhcs/view?method=viewOwnerMhcs",10,""
12,2,2,1,11,"Initializer Reads Must Have Can't Stands",0,"5.2",1,"/servlet/user/comm/mhcs/read?method=viewOtherMhcs","/servlet/user/comm/mhcs/read/wait","/servlet/user/comm/review/mhcs/read?method=viewOtherMhcs",11,""
13,3,1,1,12,"Initializer Chooses Open Ended Questions",1,"5.3",1,"/servlet/user/comm/oeqs/choose?method=chooseQuestions","/servlet/user/comm/mhcs/read/wait","/servlet/user/comm/oeqs/review/questions/sent?method=reviewSentQuestions",12,""
16,3,1,2,15,"Non-Initializer Chooses Open Ended Questions",1,"6.3",1,"/servlet/user/comm/oeqs/choose?method=chooseQuestions","/servlet/user/comm/oeqs/answer/wait","/servlet/user/comm/oeqs/review/questions/sent?method=reviewSentQuestions",15,""
17,3,2,1,16,"Initializer Reads Open Ended Question Answers",0,"7.1",1,"/servlet/user/comm/oeqs/read?method=readAnswers","/servlet/user/comm/oeqs/read/wait?method=reviewSentQuestions","/servlet/user/comm/review/oeqs/read?method=readAnswers",16,""
18,3,3,1,17,"Initializer Answers Open Ended Questions",1,"7.2",1,"/servlet/user/comm/oeqs/answer?method=answerQuestions","/servlet/user/comm/oeqs/read/wait?method=reviewSentQuestions","/servlet/user/comm/oeqs/review/answers/sent?method=reviewSentAnswers",17,""
19,4,1,1,18,"Initializer Uploads Photos",0,"10",1,"","","",18,"${user.id > 0}"
21,4,1,2,20,"Non-Initializer Uploads Photos",0,"10",1,"","","",20,"${user.id > 0}"
22,5,0,2,21,"Non-Initializer Reads Open Comm Primer",0,"10",1,"/servlet/user/comm/open/primer","/servlet/user/comm/open/wait","/servlet/user/comm/open/primer",21,""
23,5,1,2,22,"Non-Initializer Writes 1st Open Comm Message",1,"10",1,"/servlet/user/comm/open/write?method=writeMessage","/servlet/user/comm/open/primer/wait","",22,""
24,5,0,1,23,"Initializer Reads Open Comm Primer",0,"10",1,"/servlet/user/comm/open/primer","/servlet/user/comm/open/wait","/servlet/user/comm/open/primer",23,""
25,5,2,1,24,"Initializer Reads 1st Open Comm Message",0,"10",1,"/servlet/user/comm/open/write?method=writeMessage","/servlet/user/comm/open/wait","",24,""
26,6,3,1,25,"Initializer Responds To 1st Open Comm Message",1,"10",1,"/servlet/user/comm/open/write?method=writeMessage","/servlet/user/comm/open/wait","",25,""
27,6,1,0,26,"Open Comm Reached",1,"100",1,"/servlet/user/comm/open/read?method=readAllMessages","","/servlet/user/comm/review/open/past",26,""
14,2,2,2,13,"Non-Initializer Reads Must Have Can't Stands",0,"6.1",1,"/servlet/user/comm/mhcs/read?method=viewOtherMhcs","/servlet/user/comm/oeqs/read/wait?method=reviewSentQuestions","/servlet/user/comm/review/mhcs/read?method=viewOtherMhcs",13,""
15,3,3,2,14,"Non-Initializer Answers Open Ended Questions",0,"6.2",1,"/servlet/user/comm/oeqs/answer?method=answerQuestions","/servlet/user/comm/oeqs/answer/wait","/servlet/user/comm/oeqs/review/answers/sent?method=reviewSentAnswers",14,""
20,3,2,2,19,"Non-Initializer Reads Open Ended Question Answers",0,"10",1,"/servlet/user/comm/oeqs/read?method=readAnswers","/servlet/user/comm/open/primer/wait","/servlet/user/comm/review/oeqs/read?method=readAnswers",19,""
4,0,2,2,3,"Non-Initializer Reads Match Detail",0,"2.1",1,"/servlet/user/comm/ceqs/answer?method=answerQuestions","/servlet/user/comm/ceqs/read/wait?method=reviewSentQuestions","",3,""
6,1,1,2,5,"Non-Initializer Chooses Closed Ended Question",1,"2.3",1,"/servlet/user/comm/ceqs/choose/past?method=choosePastQuestions","/servlet/user/comm/ceqs/read/wait?method=reviewSentQuestions","/servlet/user/comm/ceqs/review/questions/sent?method=reviewSentQuestions",5,""
9,1,2,2,8,"Non-Initializer Reads Closed Ended Answers",0,"4.1",1,"/servlet/user/comm/ceqs/read?method=readAnswers","/servlet/user/comm/mhcs/send/wait","/servlet/user/comm/review/ceqs/read?method=readAnswers",8,""
28,0,0,0,27,"New Match",0,"0",2,"/servlet/user/comm/ceqs/choose/past?method=choosePastQuestions","","/servlet/user/comm/matchdetail?method=reviewIntro",1,""
29,1,1,0,28,"Initializer Chooses Closed Ended",1,"1",2,"/servlet/user/comm/ceqs/choose/past?method=choosePastQuestions","/servlet/user/comm/ceqs/read/wait?method=reviewSentQuestions","/servlet/user/comm/ceqs/review/questions/sent?method=reviewSentQuestions",2,""
30,0,2,2,29,"Non-Initializer Reads Match Detail",0,"2.1",2,"/servlet/user/comm/ceqs/answer?method=answerQuestions","/servlet/user/comm/ceqs/read/wait?method=reviewSentQuestions","",3,""
31,1,3,2,30,"Non-Initializer Answers Closed Ended Question",0,"2.2",2,"/servlet/user/comm/ceqs/answer?method=answerQuestions","/servlet/user/comm/ceqs/read/wait?method=reviewSentQuestions","/servlet/user/comm/ceqs/review/answers/sent?method=reviewSentAnswers",4,""
32,1,1,2,31,"Non-Initializer Chooses Closed Ended Question",1,"2.3",2,"/servlet/user/comm/ceqs/choose/past?method=choosePastQuestions","/servlet/user/comm/ceqs/read/wait?method=reviewSentQuestions","/servlet/user/comm/ceqs/review/questions/sent?method=reviewSentQuestions",5,""
33,1,2,1,32,"Initializer Reads Closed Ended Answers",0,"3.1",2,"/servlet/user/comm/ceqs/read?method=readAnswers","/servlet/user/comm/ceqs/read/wait?method=reviewSentQuestions","/servlet/user/comm/review/ceqs/read?method=readAnswers",6,""
34,1,3,1,33,"Initializer Answers Closed Ended Question",1,"3.2",2,"/servlet/user/comm/ceqs/answer?method=answerQuestions","/servlet/user/comm/ceqs/read/wait?method=reviewSentQuestions","/servlet/user/comm/ceqs/review/answers/sent?method=reviewSentAnswers",7,""
